id,name,country,logo,slug
7,Brasileirão Betano,Brasil,img/ligas/Brasileirao Betano.png,brasileirao-betano
6,Bundesliga,Alemania,img/ligas/Bundesliga.png,bundesliga
13,Copa de Primera Tigo,Paraguay,img/ligas/Copa de Primera Tigo – ueno bank.png,copa-de-primera-tigo
5,LaLiga,España,img/ligas/LaLiga.png,laliga
14,Liga 1,Perú,img/ligas/Liga1PeruW.png,liga-1
15,Liga AUF Uruguay,Uruguay,img/ligas/Liga AUF Uruguay.png,liga-auf-uruguay
11,Liga Betplay Dimayor,Colombia,img/ligas/Liga BetPlay.png,liga-betplay-dimayor
8,Liga de Primera Itaú,Chile,img/ligas/Liga de Primera Itaú.png,liga-de-primera-itau
16,Liga FUTVE Banco,Venezuela,img/ligas/Liga FUTVE.png,liga-futve-banco
12,LigaPro Ecuabet,Ecuador,img/ligas/LigaPro Ecuabet.png,ligapro-ecuabet
3,Ligue 1 McDonald's,Francia,img/ligas/Ligue1.png,ligue-1
9,Major League Soccer,Estados Unidos,img/ligas/MLS.png,major-league-soccer
2,Premier League,Inglaterra,img/ligas/Premier League.png,premier-league
17,Saudi Pro League,Arabia Saudita,img/ligas/Roshn Saudi League256x.png,saudi-pro-league
4,Serie A,Italia,img/ligas/Serie A.png,serie-a
1,Torneo Betano,Argentina,img/ligas/Logo_TB.png,torneo-betano
10,Torneo Clausura Bolivia,Bolivia,img/ligas/BOL.png,torneo-clausura-bolivia
